num	premise	hypothesis	gold_label	template_num	time_format	time_span	category
1	マーヴィン は 皆 に プログラム を 教えて いる 。	マーヴィン は 現在 皆 に プログラム を 教えて いる 。	entailment	0	None	None	現在（現在形）
2	ウォルター は 回答 に 祝辞 を 申し上げて いる 。	ウォルター は 現在 回答 に 祝辞 を 申し上げて いる 。	entailment	0	None	None	現在（現在形）
3	ウォルター は 問い に 首 を 傾げて いる 。	ウォルター は 現在 問い に 首 を 傾げて いる 。	entailment	0	None	None	現在（現在形）
4	イブ は 友人 に ジャージ を 貰って いる 。	イブ は 現在 友人 に ジャージ を 貰って いる 。	entailment	0	None	None	現在（現在形）
5	キャロル は 時 に 存在 を 知って いる 。	キャロル は 現在 時 に 存在 を 知って いる 。	entailment	0	None	None	現在（現在形）
6	イブ は オフィス に 一瞬 顔 を 出して いる 。	イブ は 現在 オフィス に 一瞬 顔 を 出して いる 。	entailment	0	None	None	現在（現在形）
7	マレット は 対象 に 役 会 を 開いて いる 。	マレット は 現在 対象 に 役 会 を 開いて いる 。	entailment	0	None	None	現在（現在形）
8	マロリー は 管理 者 に ライセンス 料 を 支払って いる 。	マロリー は 現在 管理 者 に ライセンス 料 を 支払って いる 。	entailment	0	None	None	現在（現在形）
9	ボブ は 言葉 に ズボン を 揚げて いる 。	ボブ は 現在 言葉 に ズボン を 揚げて いる 。	entailment	0	None	None	現在（現在形）
10	エレン は 後ろ に 身体 を 引いて いる 。	エレン は 現在 後ろ に 身体 を 引いて いる 。	entailment	0	None	None	現在（現在形）
11	2012 年 以来 、 イブ は 家 に 引き取って いる 。 現在 、 2014 年 である 。	イブ は 2004 年 に は 家 に 引き取って いた 。	contradiction	1	年	random	以来（状態動詞）
12	2013 年 以来 、 オスカー は 市長 に 誓って いる 。 現在 、 2000 年 である 。	オスカー は 2003 年 に は 市長 に 誓って いた 。	contradiction	1	年	random	以来（状態動詞）
13	2012 年 以来 、 ゾーイ は 市民 に 提供 して いる 。 現在 、 2010 年 である 。	ゾーイ は 2004 年 に は 市民 に 提供 して いた 。	contradiction	1	年	random	以来（状態動詞）
14	2000 年 以来 、 デイヴ は 全国 に 居る 。 現在 、 2019 年 である 。	デイヴ は 2011 年 に は 全国 に 居った 。	entailment	1	年	random	以来（状態動詞）
15	2013 年 以来 、 アイザック は 女性 に 送って いる 。 現在 、 2012 年 である 。	アイザック は 2010 年 に は 女性 に 送って いた 。	contradiction	1	年	random	以来（状態動詞）
16	2020 年 以来 、 チャーリー は スタジアム に 運んで いる 。 現在 、 2007 年 である 。	チャーリー は 2015 年 に は スタジアム に 運んで いた 。	contradiction	1	年	random	以来（状態動詞）
17	2011 年 以来 、 デイヴ は メッセージ に 貰って いる 。 現在 、 2009 年 である 。	デイヴ は 2012 年 に は メッセージ に 貰って いた 。	neutral	1	年	random	以来（状態動詞）
18	2005 年 以来 、 オスカー は 決定 戦 に 進めて いる 。 現在 、 2015 年 である 。	オスカー は 2010 年 に は 決定 戦 に 進めて いた 。	entailment	1	年	random	以来（状態動詞）
19	2001 年 以来 、 チャーリー は 販売 員 に 鳴れて いる 。 現在 、 2008 年 である 。	チャーリー は 2007 年 に は 販売 員 に 鳴れて いた 。	entailment	1	年	random	以来（状態動詞）
