num	premise	hypothesis	gold_label	template_num	time_format	time_span	category
1	ビクターは女に左手を上げている。	ビクターは現在女に左手を上げている。	entailment	0	None	None	現在（現在形）
2	アリスは作りに貢献を果たしている。	アリスは現在作りに貢献を果たしている。	entailment	0	None	None	現在（現在形）
3	マチルダは先生にワクチンを贈っている。	マチルダは現在先生にワクチンを贈っている。	entailment	0	None	None	現在（現在形）
4	デイヴは世界に夫婦を案内している。	デイヴは現在世界に夫婦を案内している。	entailment	0	None	None	現在（現在形）
5	アイザックは共演に顔を揃えている。	アイザックは現在共演に顔を揃えている。	entailment	0	None	None	現在（現在形）
6	イブは所轄庁に同意書を提出している。	イブは現在所轄庁に同意書を提出している。	entailment	0	None	None	現在（現在形）
7	マロリーは成長に存在を掛けている。	マロリーは現在成長に存在を掛けている。	entailment	0	None	None	現在（現在形）
8	イヴァンは友達にテーマをしている。	イヴァンは現在友達にテーマをしている。	entailment	0	None	None	現在（現在形）
9	マーヴィンは選手に質問を行っている。	マーヴィンは現在選手に質問を行っている。	entailment	0	None	None	現在（現在形）
10	ビクターは女に風船を上げている。	ビクターは現在女に風船を上げている。	entailment	0	None	None	現在（現在形）
11	2003年以来、イヴァンはグループに合流している。現在、2010年である。	イヴァンは2004年にはグループに合流していた。	entailment	1	年	random	以来（状態動詞）
12	2002年以来、ゾーイは後任者に引き継いでいる。現在、2020年である。	ゾーイは2006年には後任者に引き継いでいた。	entailment	1	年	random	以来（状態動詞）
13	2001年以来、フランクはイタリアに出発している。現在、2016年である。	フランクは2011年にはイタリアに出発していた。	entailment	1	年	random	以来（状態動詞）
14	2001年以来、マチルダは以内に行っている。現在、2003年である。	マチルダは2002年には以内に行っていた。	entailment	1	年	random	以来（状態動詞）
15	2001年以来、ゾーイは付近に居る。現在、2018年である。	ゾーイは2008年には付近に居った。	entailment	1	年	random	以来（状態動詞）
16	2003年以来、フランクは皆さんに贈呈している。現在、2018年である。	フランクは2008年には皆さんに贈呈していた。	entailment	1	年	random	以来（状態動詞）
17	2001年以来、アリスは手足に負っている。現在、2015年である。	アリスは2005年には手足に負っていた。	entailment	1	年	random	以来（状態動詞）
18	2004年以来、アイザックは庭先にやってきている。現在、2016年である。	アイザックは2006年には庭先にやってきていた。	entailment	1	年	random	以来（状態動詞）
19	2000年以来、ゾーイはサイエンスに発表している。現在、2008年である。	ゾーイは2006年にはサイエンスに発表していた。	entailment	1	年	random	以来（状態動詞）
