num	premise	hypothesis	gold_label	template_num	time_format
1	男 は 真っ二つ に ガム を 割って いる 。	男 は 現在 真っ二つ に ガム を 割って いる 。	entailment	0	None
2	大人 は 子供 に 頭 を 張れて いる 。	大人 は 現在 子供 に 頭 を 張れて いる 。	entailment	0	None
3	家族 は 人々 に 止め を 挿して いる 。	家族 は 現在 人々 に 止め を 挿して いる 。	entailment	0	None
4	私 は 途端 に 電話 を 切って いる 。	私 は 現在 途端 に 電話 を 切って いる 。	entailment	0	None
5	選手 は 言葉 に 場 を 去って いる 。	選手 は 現在 言葉 に 場 を 去って いる 。	entailment	0	None
6	私 は 彼 に 愛想 を 尽かして いる 。	私 は 現在 彼 に 愛想 を 尽かして いる 。	entailment	0	None
7	高校 生 は 何者 に 胸 を 塞いで いる 。	高校 生 は 現在 何 者 に 胸 を 塞いで いる 。	entailment	0	None
8	女性 は 手 に 鼻 を 塞いで いる 。	女性 は 現在 手 に 鼻 を 塞いで いる 。	entailment	0	None
9	私 は 修行 に 空間 を 飛べて いる 。	私 は 現在 修行 に 空間 を 飛べて いる 。	entailment	0	None
10	母さん は 物音 に 目 を 覚まして いる 。	母さん は 現在 物音 に 目 を 覚まして いる 。	entailment	0	None
11	大人 は 子供 に 目 を 離して いる 。	大人 は 現在 子供 に 目 を 離して いる 。	entailment	0	None
12	選手 は 声 に 気 を 緩めて いる 。	選手 は 現在 声 に 気 を 緩めて いる 。	entailment	0	None
13	親 は 行動 に 瞳 を 離して いる 。	親 は 現在 行動 に 瞳 を 離して いる 。	entailment	0	None
14	騎手 は ポイント 差 に 差 を 詰めて いる 。	騎手 は 現在 ポイント 差 に 差 を 詰めて いる 。	entailment	0	None
15	妻 は 母 に 止め を 挿して いる 。	妻 は 現在 母 に 止め を 挿して いる 。	entailment	0	None
16	全員 は 手入れ に 時 を 抜けて いる 。	全員 は 現在 手入れ に 時 を 抜けて いる 。	entailment	0	None
17	男 は 拷問 に 歯 を 割って いる 。	男 は 現在 拷問 に 歯 を 割って いる 。	entailment	0	None
18	両親 は 男 に 小遣い を せびって いる 。	両親 は 現在 男 に 小遣い を せびって いる 。	entailment	0	None
19	私 は 動向 に 目 を 離して いる 。	私 は 現在 動向 に 目 を 離して いる 。	entailment	0	None
20	選手 は 早 足 に 議場 を 去って いる 。	選手 は 現在 早 足 に 議場 を 去って いる 。	entailment	0	None
21	彼 は 暮れ に ナニ を 血迷って いる 。	彼 は 現在 暮れ に ナニ を 血迷って いる 。	entailment	0	None
22	質問 者 は 込み に 心証 を 害す すって いる 。	質問 者 は 現在 込み に 心証 を 害す すって いる 。	entailment	0	None
23	子供 は 下 に 爪 を 伸ばせて いる 。	子供 は 現在 下 に 爪 を 伸ばせて いる 。	entailment	0	None
24	飼い主 は 子供 に 目 を 離して いる 。	飼い主 は 現在 子供 に 目 を 離して いる 。	entailment	0	None
25	私 は 相手 に メール を 切って いる 。	私 は 現在 相手 に メール を 切って いる 。	entailment	0	None
26	皆 は 下 に 身体 を 伸ばせて いる 。	皆 は 現在 下 に 身体 を 伸ばせて いる 。	entailment	0	None
27	甘えん坊 は 夫 に 口付け を せがんで いる 。	甘えん坊 は 現在 夫 に 口付け を せがんで いる 。	entailment	0	None
28	亜衣 は 時間 帯 に 会社 を 出て いる 。	亜衣 は 現在 時間 帯 に 会社 を 出て いる 。	entailment	0	None
29	相手 は どっか に 突然 姿 を 晦まして いる 。	相手 は 現在 どっか に 突然 姿 を 晦まして いる 。	entailment	0	None
30	私 は 草々 に 場 を 立ち去って いる 。	私 は 現在 草々 に 場 を 立ち去って いる 。	entailment	0	None
31	客 は 込み に 心証 を 害す すって いる 。	客 は 現在 込み に 心証 を 害す すって いる 。	entailment	0	None
32	彼女 は 縦 に 口 を 割って いる 。	彼女 は 現在 縦 に 口 を 割って いる 。	entailment	0	None
33	男 は 質問 に 喉 を 割って いる 。	男 は 現在 質問 に 喉 を 割って いる 。	entailment	0	None
34	妻 は 蚊 に 注射 針 を 挿して いる 。	妻 は 現在 蚊 に 注射 針 を 挿して いる 。	entailment	0	None
