num	premise	hypothesis	gold_label	template_num	time_format	time_span	category
1	マーヴィン は 皆 に プログラム を 教えて いる 。	マーヴィン は 現在 皆 に プログラム を 教えて いる 。	entailment	0	None	None	現在（現在形）
2	ウォルター は 回答 に 祝辞 を 申し上げて いる 。	ウォルター は 現在 回答 に 祝辞 を 申し上げて いる 。	entailment	0	None	None	現在（現在形）
3	ウォルター は 問い に 首 を 傾げて いる 。	ウォルター は 現在 問い に 首 を 傾げて いる 。	entailment	0	None	None	現在（現在形）
4	イブ は 友人 に ジャージ を 貰って いる 。	イブ は 現在 友人 に ジャージ を 貰って いる 。	entailment	0	None	None	現在（現在形）
5	キャロル は 時 に 存在 を 知って いる 。	キャロル は 現在 時 に 存在 を 知って いる 。	entailment	0	None	None	現在（現在形）
6	イブ は オフィス に 一瞬 顔 を 出して いる 。	イブ は 現在 オフィス に 一瞬 顔 を 出して いる 。	entailment	0	None	None	現在（現在形）
7	マレット は 対象 に 役 会 を 開いて いる 。	マレット は 現在 対象 に 役 会 を 開いて いる 。	entailment	0	None	None	現在（現在形）
8	マロリー は 管理 者 に ライセンス 料 を 支払って いる 。	マロリー は 現在 管理 者 に ライセンス 料 を 支払って いる 。	entailment	0	None	None	現在（現在形）
9	ボブ は 言葉 に ズボン を 揚げて いる 。	ボブ は 現在 言葉 に ズボン を 揚げて いる 。	entailment	0	None	None	現在（現在形）
10	エレン は 後ろ に 身体 を 引いて いる 。	エレン は 現在 後ろ に 身体 を 引いて いる 。	entailment	0	None	None	現在（現在形）
11	フランク は 後任 者 に 事務 を 引き継いで いる 。	フランク は 現在 後任 者 に 事務 を 引き継いで いる 。	entailment	0	None	None	現在（現在形）
12	トレント は 客 に 情報 を 伝えて いる 。	トレント は 現在 客 に 情報 を 伝えて いる 。	entailment	0	None	None	現在（現在形）
13	ゾーイ は 台詞 に 面 を 上げて いる 。	ゾーイ は 現在 台詞 に 面 を 上げて いる 。	entailment	0	None	None	現在（現在形）
14	キャロル は 後任 者 に 仕事 を 引き継いで いる 。	キャロル は 現在 後任 者 に 仕事 を 引き継いで いる 。	entailment	0	None	None	現在（現在形）
15	アイザック は 僕 に 葉書き を 繰れて いる 。	アイザック は 現在 僕 に 葉書き を 繰れて いる 。	entailment	0	None	None	現在（現在形）
16	2006 年 以来 、 ゾーイ は 候補 に 揚げて いる 。 現在 、 2001 年 である 。	ゾーイ は 2015 年 に は 候補 に 揚げて いた 。	neutral	1	年	random	以来（状態動詞）
17	2006 年 以来 、 アリス は 監督 に 発表 して いる 。 現在 、 2014 年 である 。	アリス は 2002 年 に は 監督 に 発表 して いた 。	contradiction	1	年	random	以来（状態動詞）
18	2009 年 以来 、 ウォルター は 報告 に 訪れて いる 。 現在 、 2011 年 である 。	ウォルター は 2003 年 に は 報告 に 訪れて いた 。	contradiction	1	年	random	以来（状態動詞）
19	2015 年 以来 、 マレット は 神様 に 伝えて いる 。 現在 、 2009 年 である 。	マレット は 2006 年 に は 神様 に 伝えて いた 。	contradiction	1	年	random	以来（状態動詞）
20	2012 年 以来 、 チャーリー は 病院 に 支払って いる 。 現在 、 2003 年 である 。	チャーリー は 2004 年 に は 病院 に 支払って いた 。	contradiction	1	年	random	以来（状態動詞）
