num	premise	hypothesis	gold_label	template_num	time_format	time_span	category
1	マーヴィンは皆にプログラムを教えている。	マーヴィンは現在皆にプログラムを教えている。	entailment	0	None	None	現在（現在形）
2	ウォルターは回答に祝辞を申し上げている。	ウォルターは現在回答に祝辞を申し上げている。	entailment	0	None	None	現在（現在形）
3	ウォルターは問いに首を傾げている。	ウォルターは現在問いに首を傾げている。	entailment	0	None	None	現在（現在形）
4	イブは友人にジャージを貰っている。	イブは現在友人にジャージを貰っている。	entailment	0	None	None	現在（現在形）
5	キャロルは時に存在を知っている。	キャロルは現在時に存在を知っている。	entailment	0	None	None	現在（現在形）
6	イブはオフィスに一瞬顔を出している。	イブは現在オフィスに一瞬顔を出している。	entailment	0	None	None	現在（現在形）
7	マレットは対象に役会を開いている。	マレットは現在対象に役会を開いている。	entailment	0	None	None	現在（現在形）
8	マロリーは管理者にライセンス料を支払っている。	マロリーは現在管理者にライセンス料を支払っている。	entailment	0	None	None	現在（現在形）
9	ボブは言葉にズボンを揚げている。	ボブは現在言葉にズボンを揚げている。	entailment	0	None	None	現在（現在形）
10	エレンは後ろに身体を引いている。	エレンは現在後ろに身体を引いている。	entailment	0	None	None	現在（現在形）
11	2012年以来、イブは家に引き取っている。現在、2014年である。	イブは2004年には家に引き取っていた。	contradiction	1	年	random	以来（状態動詞）
12	2013年以来、オスカーは市長に誓っている。現在、2000年である。	オスカーは2003年には市長に誓っていた。	contradiction	1	年	random	以来（状態動詞）
13	2012年以来、ゾーイは市民に提供している。現在、2010年である。	ゾーイは2004年には市民に提供していた。	contradiction	1	年	random	以来（状態動詞）
14	2000年以来、デイヴは全国に居る。現在、2019年である。	デイヴは2011年には全国に居った。	entailment	1	年	random	以来（状態動詞）
15	2013年以来、アイザックは女性に送っている。現在、2012年である。	アイザックは2010年には女性に送っていた。	contradiction	1	年	random	以来（状態動詞）
16	2020年以来、チャーリーはスタジアムに運んでいる。現在、2007年である。	チャーリーは2015年にはスタジアムに運んでいた。	contradiction	1	年	random	以来（状態動詞）
17	2011年以来、デイヴはメッセージに貰っている。現在、2009年である。	デイヴは2012年にはメッセージに貰っていた。	neutral	1	年	random	以来（状態動詞）
18	2005年以来、オスカーは決定戦に進めている。現在、2015年である。	オスカーは2010年には決定戦に進めていた。	entailment	1	年	random	以来（状態動詞）
19	2001年以来、チャーリーは販売員に鳴れている。現在、2008年である。	チャーリーは2007年には販売員に鳴れていた。	entailment	1	年	random	以来（状態動詞）
20	2002年以来、マレットは息子に繰れている。現在、2000年である。	マレットは2013年には息子に繰れていた。	neutral	1	年	random	以来（状態動詞）
21	2009年以来、チャーリーはシートに作成している。現在、2010年である。	チャーリーは2007年にはシートに作成していた。	contradiction	1	年	random	以来（状態動詞）
22	2002年以来、エレンは風に変えている。現在、2016年である。	エレンは2014年には風に変えていた。	entailment	1	年	random	以来（状態動詞）
23	2019年以来、マロリーは知事選に表明している。現在、2020年である。	マロリーは2004年には知事選に表明していた。	contradiction	1	年	random	以来（状態動詞）
24	2013年以来、マーヴィンは戦に臨んでいる。現在、2004年である。	マーヴィンは2017年には戦に臨んでいた。	neutral	1	年	random	以来（状態動詞）
25	2018年以来、パットは作業に発揮している。現在、2008年である。	パットは2015年には作業に発揮していた。	contradiction	1	年	random	以来（状態動詞）
